Energy sources and techniques;Energy application;Periods;Final consumption (TJ);Final consumption relative (% total energy cons.)
Co-firing of biomass in electr. plants;Total energy applications;2009;10353;0,47
Co-firing of biomass in electr. plants;Total energy applications;2010;12920;0,55
Co-firing of biomass in electr. plants;Total energy applications;2011;12377;0,56
Co-firing of biomass in electr. plants;Total energy applications;2012;11290;0,51
Co-firing of biomass in electr. plants;Total energy applications;2013;6948;0,32
Co-firing of biomass in electr. plants;Total energy applications;2014;3574;0,18
Co-firing of biomass in electr. plants;Total energy applications;2015;1884;0,09
Co-firing of biomass in electr. plants;Total energy applications;2016;1629;0,08
Co-firing of biomass in electr. plants;Total energy applications;2017;2335;0,11
Co-firing of biomass in electr. plants;Total energy applications;2018;2886;0,14
Co-firing of biomass in electr. plants;Total energy applications;2019;7925;0,38
Co-firing of biomass in electr. plants;Total energy applications;2020;19687;1,01
Co-firing of biomass in electr. plants;Total energy applications;2021**;27747;1,38
Co-firing of biomass in electr. plants;Total energy applications;2022*;22278;1,21
Total biomass households;Total energy applications;1990;12851;0,71
Total biomass households;Total energy applications;1991;12776;0,66
Total biomass households;Total energy applications;1992;12816;0,67
Total biomass households;Total energy applications;1993;12944;0,65
Total biomass households;Total energy applications;1994;13127;0,67
Total biomass households;Total energy applications;1995;13347;0,66
Total biomass households;Total energy applications;1996;13744;0,62
Total biomass households;Total energy applications;1997;13851;0,65
Total biomass households;Total energy applications;1998;13940;0,66
Total biomass households;Total energy applications;1999;13999;0,67
Total biomass households;Total energy applications;2000;14027;0,66
Total biomass households;Total energy applications;2001;13938;0,64
Total biomass households;Total energy applications;2002;13856;0,64
Total biomass households;Total energy applications;2003;14186;0,64
Total biomass households;Total energy applications;2004;14901;0,64
Total biomass households;Total energy applications;2005;15664;0,68
Total biomass households;Total energy applications;2006;16394;0,72
Total biomass households;Total energy applications;2007;16377;0,73
Total biomass households;Total energy applications;2008;16522;0,72
Total biomass households;Total energy applications;2009;16763;0,76
Total biomass households;Total energy applications;2010;17099;0,72
Total biomass households;Total energy applications;2011;17414;0,79
Total biomass households;Total energy applications;2012;16938;0,77
Total biomass households;Total energy applications;2013;17012;0,77
Total biomass households;Total energy applications;2014;16898;0,84
Total biomass households;Total energy applications;2015;16743;0,82
Total biomass households;Total energy applications;2016;16569;0,79
Total biomass households;Total energy applications;2017;16432;0,78
Total biomass households;Total energy applications;2018;16446;0,78
Total biomass households;Total energy applications;2019;16278;0,78
Total biomass households;Total energy applications;2020;16168;0,83
Total biomass households;Total energy applications;2021**;16188;0,81
Total biomass households;Total energy applications;2022*;16195;0,88
Biomass households, open fireplaces;Total energy applications;1990;3834;0,21
Biomass households, open fireplaces;Total energy applications;1991;3762;0,19
Biomass households, open fireplaces;Total energy applications;1992;3688;0,19
Biomass households, open fireplaces;Total energy applications;1993;3612;0,18
Biomass households, open fireplaces;Total energy applications;1994;3535;0,18
Biomass households, open fireplaces;Total energy applications;1995;3457;0,17
Biomass households, open fireplaces;Total energy applications;1996;3399;0,15
Biomass households, open fireplaces;Total energy applications;1997;3341;0,16
Biomass households, open fireplaces;Total energy applications;1998;3282;0,15
Biomass households, open fireplaces;Total energy applications;1999;3224;0,16
Biomass households, open fireplaces;Total energy applications;2000;3165;0,15
Biomass households, open fireplaces;Total energy applications;2001;3127;0,14
Biomass households, open fireplaces;Total energy applications;2002;3090;0,14
Biomass households, open fireplaces;Total energy applications;2003;3050;0,14
Biomass households, open fireplaces;Total energy applications;2004;3011;0,13
Biomass households, open fireplaces;Total energy applications;2005;2972;0,13
Biomass households, open fireplaces;Total energy applications;2006;2952;0,13
Biomass households, open fireplaces;Total energy applications;2007;2938;0,13
Biomass households, open fireplaces;Total energy applications;2008;2856;0,13
Biomass households, open fireplaces;Total energy applications;2009;2777;0,13
Biomass households, open fireplaces;Total energy applications;2010;2700;0,11
Biomass households, open fireplaces;Total energy applications;2011;2624;0,12
Biomass households, open fireplaces;Total energy applications;2012;2549;0,12
Biomass households, open fireplaces;Total energy applications;2013;2472;0,11
Biomass households, open fireplaces;Total energy applications;2014;2397;0,12
Biomass households, open fireplaces;Total energy applications;2015;2322;0,11
Biomass households, open fireplaces;Total energy applications;2016;2247;0,11
Biomass households, open fireplaces;Total energy applications;2017;2174;0,1
Biomass households, open fireplaces;Total energy applications;2018;2103;0,1
Biomass households, open fireplaces;Total energy applications;2019;2008;0,1
Biomass households, open fireplaces;Total energy applications;2020;1917;0,1
Biomass households, open fireplaces;Total energy applications;2021**;1844;0,09
Biomass households, open fireplaces;Total energy applications;2022*;1774;0,1
Biomass households, inserts;Total energy applications;1990;2612;0,14
Biomass households, inserts;Total energy applications;1991;2988;0,15
Biomass households, inserts;Total energy applications;1992;3460;0,18
Biomass households, inserts;Total energy applications;1993;3991;0,2
Biomass households, inserts;Total energy applications;1994;4556;0,23
Biomass households, inserts;Total energy applications;1995;5141;0,25
Biomass households, inserts;Total energy applications;1996;5379;0,24
Biomass households, inserts;Total energy applications;1997;5344;0,25
Biomass households, inserts;Total energy applications;1998;5296;0,25
Biomass households, inserts;Total energy applications;1999;5238;0,25
Biomass households, inserts;Total energy applications;2000;5171;0,24
Biomass households, inserts;Total energy applications;2001;5088;0,23
Biomass households, inserts;Total energy applications;2002;4998;0,23
Biomass households, inserts;Total energy applications;2003;4894;0,22
Biomass households, inserts;Total energy applications;2004;4785;0,21
Biomass households, inserts;Total energy applications;2005;4672;0,2
Biomass households, inserts;Total energy applications;2006;4483;0,2
Biomass households, inserts;Total energy applications;2007;4295;0,19
Biomass households, inserts;Total energy applications;2008;4214;0,18
Biomass households, inserts;Total energy applications;2009;4154;0,19
Biomass households, inserts;Total energy applications;2010;4115;0,17
Biomass households, inserts;Total energy applications;2011;4080;0,19
Biomass households, inserts;Total energy applications;2012;3357;0,15
Biomass households, inserts;Total energy applications;2013;3157;0,14
Biomass households, inserts;Total energy applications;2014;3002;0,15
Biomass households, inserts;Total energy applications;2015;2849;0,14
Biomass households, inserts;Total energy applications;2016;2701;0,13
Biomass households, inserts;Total energy applications;2017;2562;0,12
Biomass households, inserts;Total energy applications;2018;2421;0,11
Biomass households, inserts;Total energy applications;2019;2265;0,11
Biomass households, inserts;Total energy applications;2020;2241;0,12
Biomass households, inserts;Total energy applications;2021**;2239;0,11
Biomass households, inserts;Total energy applications;2022*;2229;0,12
Biomass households, wood stoves;Total energy applications;1990;6135;0,34
Biomass households, wood stoves;Total energy applications;1991;5756;0,3
Biomass households, wood stoves;Total energy applications;1992;5398;0,28
Biomass households, wood stoves;Total energy applications;1993;5070;0,25
Biomass households, wood stoves;Total energy applications;1994;4766;0,24
Biomass households, wood stoves;Total energy applications;1995;4479;0,22
Biomass households, wood stoves;Total energy applications;1996;4695;0,21
Biomass households, wood stoves;Total energy applications;1997;4897;0,23
Biomass households, wood stoves;Total energy applications;1998;5091;0,24
Biomass households, wood stoves;Total energy applications;1999;5267;0,25
Biomass households, wood stoves;Total energy applications;2000;5421;0,25
Biomass households, wood stoves;Total energy applications;2001;5453;0,25
Biomass households, wood stoves;Total energy applications;2002;5498;0,25
Biomass households, wood stoves;Total energy applications;2003;5972;0,27
Biomass households, wood stoves;Total energy applications;2004;6835;0,29
Biomass households, wood stoves;Total energy applications;2005;7750;0,34
Biomass households, wood stoves;Total energy applications;2006;8689;0,38
Biomass households, wood stoves;Total energy applications;2007;8875;0,39
Biomass households, wood stoves;Total energy applications;2008;9182;0,4
Biomass households, wood stoves;Total energy applications;2009;9563;0,44
Biomass households, wood stoves;Total energy applications;2010;10013;0,42
Biomass households, wood stoves;Total energy applications;2011;10439;0,48
Biomass households, wood stoves;Total energy applications;2012;10763;0,49
Biomass households, wood stoves;Total energy applications;2013;11113;0,5
Biomass households, wood stoves;Total energy applications;2014;11120;0,55
Biomass households, wood stoves;Total energy applications;2015;11092;0,54
Biomass households, wood stoves;Total energy applications;2016;11040;0,53
Biomass households, wood stoves;Total energy applications;2017;10875;0,52
Biomass households, wood stoves;Total energy applications;2018;10713;0,51
Biomass households, wood stoves;Total energy applications;2019;10421;0,5
Biomass households, wood stoves;Total energy applications;2020;10059;0,52
Biomass households, wood stoves;Total energy applications;2021**;9780;0,49
Biomass households, wood stoves;Total energy applications;2022*;9738;0,53
Biomass households, pellet stoves;Total energy applications;1990;0;0
Biomass households, pellet stoves;Total energy applications;1991;0;0
Biomass households, pellet stoves;Total energy applications;1992;0;0
Biomass households, pellet stoves;Total energy applications;1993;0;0
Biomass households, pellet stoves;Total energy applications;1994;0;0
Biomass households, pellet stoves;Total energy applications;1995;0;0
Biomass households, pellet stoves;Total energy applications;1996;0;0
Biomass households, pellet stoves;Total energy applications;1997;0;0
Biomass households, pellet stoves;Total energy applications;1998;0;0
Biomass households, pellet stoves;Total energy applications;1999;0;0
Biomass households, pellet stoves;Total energy applications;2000;0;0
Biomass households, pellet stoves;Total energy applications;2001;0;0
Biomass households, pellet stoves;Total energy applications;2002;0;0
Biomass households, pellet stoves;Total energy applications;2003;0;0
Biomass households, pellet stoves;Total energy applications;2004;0;0
Biomass households, pellet stoves;Total energy applications;2005;0;0
Biomass households, pellet stoves;Total energy applications;2006;0;0
Biomass households, pellet stoves;Total energy applications;2007;0;0
Biomass households, pellet stoves;Total energy applications;2008;0;0
Biomass households, pellet stoves;Total energy applications;2009;0;0
Biomass households, pellet stoves;Total energy applications;2010;0;0
Biomass households, pellet stoves;Total energy applications;2011;0;0
Biomass households, pellet stoves;Total energy applications;2012;0;0
Biomass households, pellet stoves;Total energy applications;2013;0;0
Biomass households, pellet stoves;Total energy applications;2014;109;0,01
Biomass households, pellet stoves;Total energy applications;2015;211;0,01
Biomass households, pellet stoves;Total energy applications;2016;310;0,01
Biomass households, pellet stoves;Total energy applications;2017;551;0,03
Biomass households, pellet stoves;Total energy applications;2018;939;0,04
Biomass households, pellet stoves;Total energy applications;2019;1313;0,06
Biomass households, pellet stoves;Total energy applications;2020;1679;0,09
Biomass households, pellet stoves;Total energy applications;2021**;2053;0,1
Biomass households, pellet stoves;Total energy applications;2022*;2182;0,12
Biomass households, charcoal use;Total energy applications;1990;270;0,01
Biomass households, charcoal use;Total energy applications;1991;270;0,01
Biomass households, charcoal use;Total energy applications;1992;270;0,01
Biomass households, charcoal use;Total energy applications;1993;270;0,01
Biomass households, charcoal use;Total energy applications;1994;270;0,01
Biomass households, charcoal use;Total energy applications;1995;270;0,01
Biomass households, charcoal use;Total energy applications;1996;270;0,01
Biomass households, charcoal use;Total energy applications;1997;270;0,01
Biomass households, charcoal use;Total energy applications;1998;270;0,01
Biomass households, charcoal use;Total energy applications;1999;270;0,01
Biomass households, charcoal use;Total energy applications;2000;270;0,01
Biomass households, charcoal use;Total energy applications;2001;270;0,01
Biomass households, charcoal use;Total energy applications;2002;270;0,01
Biomass households, charcoal use;Total energy applications;2003;270;0,01
Biomass households, charcoal use;Total energy applications;2004;270;0,01
Biomass households, charcoal use;Total energy applications;2005;270;0,01
Biomass households, charcoal use;Total energy applications;2006;270;0,01
Biomass households, charcoal use;Total energy applications;2007;270;0,01
Biomass households, charcoal use;Total energy applications;2008;270;0,01
Biomass households, charcoal use;Total energy applications;2009;270;0,01
Biomass households, charcoal use;Total energy applications;2010;270;0,01
Biomass households, charcoal use;Total energy applications;2011;270;0,01
Biomass households, charcoal use;Total energy applications;2012;270;0,01
Biomass households, charcoal use;Total energy applications;2013;270;0,01
Biomass households, charcoal use;Total energy applications;2014;270;0,01
Biomass households, charcoal use;Total energy applications;2015;270;0,01
Biomass households, charcoal use;Total energy applications;2016;270;0,01
Biomass households, charcoal use;Total energy applications;2017;270;0,01
Biomass households, charcoal use;Total energy applications;2018;270;0,01
Biomass households, charcoal use;Total energy applications;2019;270;0,01
Biomass households, charcoal use;Total energy applications;2020;270;0,01
Biomass households, charcoal use;Total energy applications;2021**;270;0,01
Biomass households, charcoal use;Total energy applications;2022*;270;0,01
Biomass boilers companies, total;Total energy applications;1990;2082;0,11
Biomass boilers companies, total;Total energy applications;1991;2072;0,11
Biomass boilers companies, total;Total energy applications;1992;2059;0,11
Biomass boilers companies, total;Total energy applications;1993;2023;0,1
Biomass boilers companies, total;Total energy applications;1994;2105;0,11
Biomass boilers companies, total;Total energy applications;1995;2324;0,11
Biomass boilers companies, total;Total energy applications;1996;2318;0,11
Biomass boilers companies, total;Total energy applications;1997;2403;0,11
Biomass boilers companies, total;Total energy applications;1998;2389;0,11
Biomass boilers companies, total;Total energy applications;1999;2611;0,13
Biomass boilers companies, total;Total energy applications;2000;3243;0,15
Biomass boilers companies, total;Total energy applications;2001;3413;0,16
Biomass boilers companies, total;Total energy applications;2002;3670;0,17
Biomass boilers companies, total;Total energy applications;2003;3891;0,18
Biomass boilers companies, total;Total energy applications;2004;4868;0,21
Biomass boilers companies, total;Total energy applications;2005;5483;0,24
Biomass boilers companies, total;Total energy applications;2006;6999;0,31
Biomass boilers companies, total;Total energy applications;2007;7775;0,35
Biomass boilers companies, total;Total energy applications;2008;9798;0,43
Biomass boilers companies, total;Total energy applications;2009;10844;0,49
Biomass boilers companies, total;Total energy applications;2010;9914;0,42
Biomass boilers companies, total;Total energy applications;2011;9075;0,41
Biomass boilers companies, total;Total energy applications;2012;10257;0,47
Biomass boilers companies, total;Total energy applications;2013;10814;0,49
Biomass boilers companies, total;Total energy applications;2014;12875;0,64
Biomass boilers companies, total;Total energy applications;2015;15151;0,74
Biomass boilers companies, total;Total energy applications;2016;16256;0,78
Biomass boilers companies, total;Total energy applications;2017;19284;0,92
Biomass boilers companies, total;Total energy applications;2018;22484;1,06
Biomass boilers companies, total;Total energy applications;2019;26668;1,28
Biomass boilers companies, total;Total energy applications;2020;28756;1,48
Biomass boilers companies, total;Total energy applications;2021**;23773;1,19
Biomass boilers companies, total;Total energy applications;2022*;15821;0,86
Biomass boilers companies, CHP;Total energy applications;1990;357;0,02
Biomass boilers companies, CHP;Total energy applications;1991;347;0,02
Biomass boilers companies, CHP;Total energy applications;1992;304;0,02
Biomass boilers companies, CHP;Total energy applications;1993;237;0,01
Biomass boilers companies, CHP;Total energy applications;1994;289;0,01
Biomass boilers companies, CHP;Total energy applications;1995;378;0,02
Biomass boilers companies, CHP;Total energy applications;1996;306;0,01
Biomass boilers companies, CHP;Total energy applications;1997;326;0,02
Biomass boilers companies, CHP;Total energy applications;1998;261;0,01
Biomass boilers companies, CHP;Total energy applications;1999;415;0,02
Biomass boilers companies, CHP;Total energy applications;2000;1031;0,05
Biomass boilers companies, CHP;Total energy applications;2001;1145;0,05
Biomass boilers companies, CHP;Total energy applications;2002;1141;0,05
Biomass boilers companies, CHP;Total energy applications;2003;1055;0,05
Biomass boilers companies, CHP;Total energy applications;2004;1182;0,05
Biomass boilers companies, CHP;Total energy applications;2005;1378;0,06
Biomass boilers companies, CHP;Total energy applications;2006;1498;0,07
Biomass boilers companies, CHP;Total energy applications;2007;1630;0,07
Biomass boilers companies, CHP;Total energy applications;2008;3364;0,15
Biomass boilers companies, CHP;Total energy applications;2009;4332;0,2
Biomass boilers companies, CHP;Total energy applications;2010;4436;0,19
Biomass boilers companies, CHP;Total energy applications;2011;3853;0,18
Biomass boilers companies, CHP;Total energy applications;2012;4917;0,22
Biomass boilers companies, CHP;Total energy applications;2013;5340;0,24
Biomass boilers companies, CHP;Total energy applications;2014;5317;0,26
Biomass boilers companies, CHP;Total energy applications;2015;6459;0,32
Biomass boilers companies, CHP;Total energy applications;2016;6749;0,32
Biomass boilers companies, CHP;Total energy applications;2017;9461;0,45
Biomass boilers companies, CHP;Total energy applications;2018;11002;0,52
Biomass boilers companies, CHP;Total energy applications;2019;14100;0,68
Biomass boilers companies, CHP;Total energy applications;2020;14592;0,75
Biomass boilers companies, CHP;Total energy applications;2021**;10624;0,53
Biomass boilers companies, CHP;Total energy applications;2022*;5339;0,29
Biomass boilers companies, heat only;Total energy applications;1990;1725;0,09
Biomass boilers companies, heat only;Total energy applications;1991;1725;0,09
Biomass boilers companies, heat only;Total energy applications;1992;1755;0,09
Biomass boilers companies, heat only;Total energy applications;1993;1786;0,09
Biomass boilers companies, heat only;Total energy applications;1994;1816;0,09
Biomass boilers companies, heat only;Total energy applications;1995;1946;0,1
Biomass boilers companies, heat only;Total energy applications;1996;2012;0,09
Biomass boilers companies, heat only;Total energy applications;1997;2077;0,1
Biomass boilers companies, heat only;Total energy applications;1998;2128;0,1
Biomass boilers companies, heat only;Total energy applications;1999;2196;0,11
Biomass boilers companies, heat only;Total energy applications;2000;2212;0,1
Biomass boilers companies, heat only;Total energy applications;2001;2268;0,1
Biomass boilers companies, heat only;Total energy applications;2002;2529;0,12
Biomass boilers companies, heat only;Total energy applications;2003;2836;0,13
Biomass boilers companies, heat only;Total energy applications;2004;3686;0,16
Biomass boilers companies, heat only;Total energy applications;2005;4106;0,18
Biomass boilers companies, heat only;Total energy applications;2006;5501;0,24
Biomass boilers companies, heat only;Total energy applications;2007;6145;0,27
Biomass boilers companies, heat only;Total energy applications;2008;6434;0,28
Biomass boilers companies, heat only;Total energy applications;2009;6512;0,3
Biomass boilers companies, heat only;Total energy applications;2010;5477;0,23
Biomass boilers companies, heat only;Total energy applications;2011;5222;0,24
Biomass boilers companies, heat only;Total energy applications;2012;5340;0,24
Biomass boilers companies, heat only;Total energy applications;2013;5474;0,25
Biomass boilers companies, heat only;Total energy applications;2014;7558;0,38
Biomass boilers companies, heat only;Total energy applications;2015;8692;0,42
Biomass boilers companies, heat only;Total energy applications;2016;9508;0,45
Biomass boilers companies, heat only;Total energy applications;2017;9823;0,47
Biomass boilers companies, heat only;Total energy applications;2018;11482;0,54
Biomass boilers companies, heat only;Total energy applications;2019;12567;0,6
Biomass boilers companies, heat only;Total energy applications;2020;14163;0,73
Biomass boilers companies, heat only;Total energy applications;2021**;13149;0,66
Biomass boilers companies, heat only;Total energy applications;2022*;10481;0,57
Total biogas;Total energy applications;1990;2084;0,11
Total biogas;Total energy applications;1991;2557;0,13
Total biogas;Total energy applications;1992;3022;0,16
Total biogas;Total energy applications;1993;3354;0,17
Total biogas;Total energy applications;1994;3593;0,18
Total biogas;Total energy applications;1995;3733;0,18
Total biogas;Total energy applications;1996;3876;0,18
Total biogas;Total energy applications;1997;3765;0,18
Total biogas;Total energy applications;1998;3614;0,17
Total biogas;Total energy applications;1999;3773;0,18
Total biogas;Total energy applications;2000;3830;0,18
Total biogas;Total energy applications;2001;3920;0,18
Total biogas;Total energy applications;2002;3916;0,18
Total biogas;Total energy applications;2003;3835;0,17
Total biogas;Total energy applications;2004;3937;0,17
Total biogas;Total energy applications;2005;3752;0,16
Total biogas;Total energy applications;2006;4121;0,18
Total biogas;Total energy applications;2007;4658;0,21
Total biogas;Total energy applications;2008;5861;0,26
Total biogas;Total energy applications;2009;7047;0,32
Total biogas;Total energy applications;2010;8040;0,34
Total biogas;Total energy applications;2011;8184;0,37
Total biogas;Total energy applications;2012;8774;0,4
Total biogas;Total energy applications;2013;9601;0,44
Total biogas;Total energy applications;2014;10239;0,51
Total biogas;Total energy applications;2015;10903;0,53
Total biogas;Total energy applications;2016;10575;0,51
Total biogas;Total energy applications;2017;10554;0,5
Total biogas;Total energy applications;2018;11295;0,53
Total biogas;Total energy applications;2019;12489;0,6
Total biogas;Total energy applications;2020;14486;0,75
Total biogas;Total energy applications;2021**;12868;0,64
Total biogas;Total energy applications;2022*;10947;0,59
Biogas from landfills;Total energy applications;1990;227;0,01
Biogas from landfills;Total energy applications;1991;431;0,02
Biogas from landfills;Total energy applications;1992;942;0,05
Biogas from landfills;Total energy applications;1993;1057;0,05
Biogas from landfills;Total energy applications;1994;1184;0,06
Biogas from landfills;Total energy applications;1995;1256;0,06
Biogas from landfills;Total energy applications;1996;1323;0,06
Biogas from landfills;Total energy applications;1997;1057;0,05
Biogas from landfills;Total energy applications;1998;1094;0,05
Biogas from landfills;Total energy applications;1999;1121;0,05
Biogas from landfills;Total energy applications;2000;1113;0,05
Biogas from landfills;Total energy applications;2001;1059;0,05
Biogas from landfills;Total energy applications;2002;1106;0,05
Biogas from landfills;Total energy applications;2003;944;0,04
Biogas from landfills;Total energy applications;2004;903;0,04
Biogas from landfills;Total energy applications;2005;884;0,04
Biogas from landfills;Total energy applications;2006;846;0,04
Biogas from landfills;Total energy applications;2007;805;0,04
Biogas from landfills;Total energy applications;2008;808;0,04
Biogas from landfills;Total energy applications;2009;726;0,03
Biogas from landfills;Total energy applications;2010;659;0,03
Biogas from landfills;Total energy applications;2011;651;0,03
Biogas from landfills;Total energy applications;2012;552;0,03
Biogas from landfills;Total energy applications;2013;463;0,02
Biogas from landfills;Total energy applications;2014;443;0,02
Biogas from landfills;Total energy applications;2015;386;0,02
Biogas from landfills;Total energy applications;2016;307;0,01
Biogas from landfills;Total energy applications;2017;350;0,02
Biogas from landfills;Total energy applications;2018;279;0,01
Biogas from landfills;Total energy applications;2019;296;0,01
Biogas from landfills;Total energy applications;2020;263;0,01
Biogas from landfills;Total energy applications;2021**;262;0,01
Biogas from landfills;Total energy applications;2022*;264;0,01
Biogas from sewage water purification;Total energy applications;1990;1396;0,07
Biogas from sewage water purification;Total energy applications;1991;1573;0,08
Biogas from sewage water purification;Total energy applications;1992;1471;0,08
Biogas from sewage water purification;Total energy applications;1993;1668;0,08
Biogas from sewage water purification;Total energy applications;1994;1668;0,08
Biogas from sewage water purification;Total energy applications;1995;1660;0,08
Biogas from sewage water purification;Total energy applications;1996;1668;0,08
Biogas from sewage water purification;Total energy applications;1997;1761;0,08
Biogas from sewage water purification;Total energy applications;1998;1628;0,08
Biogas from sewage water purification;Total energy applications;1999;1725;0,08
Biogas from sewage water purification;Total energy applications;2000;1760;0,08
Biogas from sewage water purification;Total energy applications;2001;1889;0,09
Biogas from sewage water purification;Total energy applications;2002;1840;0,09
Biogas from sewage water purification;Total energy applications;2003;1816;0,08
Biogas from sewage water purification;Total energy applications;2004;1873;0,08
Biogas from sewage water purification;Total energy applications;2005;1750;0,08
Biogas from sewage water purification;Total energy applications;2006;1737;0,08
Biogas from sewage water purification;Total energy applications;2007;1733;0,08
Biogas from sewage water purification;Total energy applications;2008;1802;0,08
Biogas from sewage water purification;Total energy applications;2009;1821;0,08
Biogas from sewage water purification;Total energy applications;2010;1848;0,08
Biogas from sewage water purification;Total energy applications;2011;1920;0,09
Biogas from sewage water purification;Total energy applications;2012;1948;0,09
Biogas from sewage water purification;Total energy applications;2013;2040;0,09
Biogas from sewage water purification;Total energy applications;2014;2013;0,1
Biogas from sewage water purification;Total energy applications;2015;1948;0,1
Biogas from sewage water purification;Total energy applications;2016;2059;0,1
Biogas from sewage water purification;Total energy applications;2017;1991;0,09
Biogas from sewage water purification;Total energy applications;2018;2073;0,1
Biogas from sewage water purification;Total energy applications;2019;2186;0,11
Biogas from sewage water purification;Total energy applications;2020;2498;0,13
Biogas from sewage water purification;Total energy applications;2021**;2312;0,12
Biogas from sewage water purification;Total energy applications;2022*;2278;0,12
Biogas, co-digestion of manure;Total energy applications;1990;;
Biogas, co-digestion of manure;Total energy applications;1991;;
Biogas, co-digestion of manure;Total energy applications;1992;;
Biogas, co-digestion of manure;Total energy applications;1993;;
Biogas, co-digestion of manure;Total energy applications;1994;;
Biogas, co-digestion of manure;Total energy applications;1995;;
Biogas, co-digestion of manure;Total energy applications;1996;;
Biogas, co-digestion of manure;Total energy applications;1997;;
Biogas, co-digestion of manure;Total energy applications;1998;;
Biogas, co-digestion of manure;Total energy applications;1999;;
Biogas, co-digestion of manure;Total energy applications;2000;;
Biogas, co-digestion of manure;Total energy applications;2001;;
Biogas, co-digestion of manure;Total energy applications;2002;;
Biogas, co-digestion of manure;Total energy applications;2003;;
Biogas, co-digestion of manure;Total energy applications;2004;;
Biogas, co-digestion of manure;Total energy applications;2005;50;0
Biogas, co-digestion of manure;Total energy applications;2006;275;0,01
Biogas, co-digestion of manure;Total energy applications;2007;884;0,04
Biogas, co-digestion of manure;Total energy applications;2008;1879;0,08
Biogas, co-digestion of manure;Total energy applications;2009;2870;0,13
Biogas, co-digestion of manure;Total energy applications;2010;3402;0,14
Biogas, co-digestion of manure;Total energy applications;2011;3334;0,15
Biogas, co-digestion of manure;Total energy applications;2012;3663;0,17
Biogas, co-digestion of manure;Total energy applications;2013;3689;0,17
Biogas, co-digestion of manure;Total energy applications;2014;3903;0,19
Biogas, co-digestion of manure;Total energy applications;2015;4291;0,21
Biogas, co-digestion of manure;Total energy applications;2016;4194;0,2
Biogas, co-digestion of manure;Total energy applications;2017;4084;0,19
Biogas, co-digestion of manure;Total energy applications;2018;4474;0,21
Biogas, co-digestion of manure;Total energy applications;2019;5059;0,24
Biogas, co-digestion of manure;Total energy applications;2020;6101;0,31
Biogas, co-digestion of manure;Total energy applications;2021**;5566;0,28
Biogas, co-digestion of manure;Total energy applications;2022*;4595;0,25
Other biogas;Total energy applications;1990;461;0,03
Other biogas;Total energy applications;1991;554;0,03
Other biogas;Total energy applications;1992;609;0,03
Other biogas;Total energy applications;1993;629;0,03
Other biogas;Total energy applications;1994;741;0,04
Other biogas;Total energy applications;1995;816;0,04
Other biogas;Total energy applications;1996;885;0,04
Other biogas;Total energy applications;1997;947;0,04
Other biogas;Total energy applications;1998;891;0,04
Other biogas;Total energy applications;1999;926;0,04
Other biogas;Total energy applications;2000;957;0,04
Other biogas;Total energy applications;2001;972;0,04
Other biogas;Total energy applications;2002;971;0,04
Other biogas;Total energy applications;2003;1076;0,05
Other biogas;Total energy applications;2004;1162;0,05
Other biogas;Total energy applications;2005;1068;0,05
Other biogas;Total energy applications;2006;1264;0,06
Other biogas;Total energy applications;2007;1237;0,06
Other biogas;Total energy applications;2008;1372;0,06
Other biogas;Total energy applications;2009;1629;0,07
Other biogas;Total energy applications;2010;2131;0,09
Other biogas;Total energy applications;2011;2279;0,1
Other biogas;Total energy applications;2012;2610;0,12
Other biogas;Total energy applications;2013;3410;0,15
Other biogas;Total energy applications;2014;3880;0,19
Other biogas;Total energy applications;2015;4277;0,21
Other biogas;Total energy applications;2016;4016;0,19
Other biogas;Total energy applications;2017;4130;0,2
Other biogas;Total energy applications;2018;4469;0,21
Other biogas;Total energy applications;2019;4946;0,24
Other biogas;Total energy applications;2020;5622;0,29
Other biogas;Total energy applications;2021**;4727;0,24
Other biogas;Total energy applications;2022*;3807;0,21
Liquid biofuels for transport, total;Total energy applications;1990;;
Liquid biofuels for transport, total;Total energy applications;1991;;
Liquid biofuels for transport, total;Total energy applications;1992;;
Liquid biofuels for transport, total;Total energy applications;1993;;
Liquid biofuels for transport, total;Total energy applications;1994;;
Liquid biofuels for transport, total;Total energy applications;1995;;
Liquid biofuels for transport, total;Total energy applications;1996;;
Liquid biofuels for transport, total;Total energy applications;1997;;
Liquid biofuels for transport, total;Total energy applications;1998;;
Liquid biofuels for transport, total;Total energy applications;1999;;
Liquid biofuels for transport, total;Total energy applications;2000;;
Liquid biofuels for transport, total;Total energy applications;2001;;
Liquid biofuels for transport, total;Total energy applications;2002;;
Liquid biofuels for transport, total;Total energy applications;2003;134;0,01
Liquid biofuels for transport, total;Total energy applications;2004;134;0,01
Liquid biofuels for transport, total;Total energy applications;2005;101;0
Liquid biofuels for transport, total;Total energy applications;2006;1766;0,08
Liquid biofuels for transport, total;Total energy applications;2007;13031;0,58
Liquid biofuels for transport, total;Total energy applications;2008;12048;0,53
Liquid biofuels for transport, total;Total energy applications;2009;15606;0,71
Liquid biofuels for transport, total;Total energy applications;2010;9577;0,41
Liquid biofuels for transport, total;Total energy applications;2011;13438;0,61
Liquid biofuels for transport, total;Total energy applications;2012;13353;0,61
Liquid biofuels for transport, total;Total energy applications;2013;12924;0,59
Liquid biofuels for transport, total;Total energy applications;2014;15102;0,75
Liquid biofuels for transport, total;Total energy applications;2015;13315;0,65
