Energy commodities;Sectors;Periods;From supply/Total Primary Energy Supply (PJ);From supply/Indigenous production (PJ);From supply/Receipts of energy (PJ);From supply/Deliveries of energy (-) (PJ);From supply/Stock change (PJ);From supply/Statistical differences (PJ);From consumption/Total energy consumption (PJ);From consumption/Energy transformation/Total net energy transformation (PJ);From consumption/Own use (PJ);From consumption/Distribution losses (PJ);From consumption/Final energy consumption (PJ);From consumption/Non-energy use (PJ)
Total energy commodities;Total energy sector;1999;615;2422,8;6935,3;8762,7;19,6;;615;406,5;186,9;21,5;;
Total energy commodities;Total energy sector;2000;629,9;2362,1;7583,4;9245,3;-70,4;;629,9;422,9;184,8;22,2;;
Total energy commodities;Total energy sector;2001;674,9;2480;7734,5;9551,2;11,6;;674,9;465,6;186,5;22,9;;
Total energy commodities;Total energy sector;2002;667,9;2473,5;7651,2;9466,2;9,4;;667,9;462;182,5;23,3;;
Total energy commodities;Total energy sector;2003;686,4;2371,1;7850,8;9562,5;27,1;;686,4;478;184,7;23,7;;
Total energy commodities;Total energy sector;2004;701,3;2753,6;7971,3;10016,5;-7,1;;701,3;484,2;192,5;24,6;;
Total energy commodities;Total energy sector;2005;687,9;2506,6;8165,7;9949,5;-35;;687,9;465,2;198,1;24,5;;
Total energy commodities;Total energy sector;2006;651;2464,2;8075;9883,8;-4,3;;651;438,9;187,4;24,7;;
Total energy commodities;Total energy sector;2007;684;2400,1;7936,9;9697,4;44,3;;684;458,9;201,5;23,6;;
Total energy commodities;Total energy sector;2008;652,1;2705,4;7945,3;9963,8;-34,8;;652,1;435,9;192,8;23,4;;
Total energy commodities;Total energy sector;2009;659,5;2496,1;7752,4;9580,5;-8,6;;659,5;449,3;187,4;22,8;;
Total energy commodities;Total energy sector;2010;673,1;2832,8;8004,4;10146,8;-17,4;;673,1;455,2;193,4;24,4;;
Total energy commodities;Total energy sector;2011;650,1;2630,8;7709,7;9728,6;38,2;;650,1;422;205,6;22,6;;
Total energy commodities;Total energy sector;2012;634,4;2592,2;7713,2;9638;-33;;634,4;415,5;196,7;22,1;;
Total energy commodities;Total energy sector;2013;608,3;2726,8;7487,8;9622,1;15,8;;608,3;389,1;197,3;22;;
Total energy commodities;Total energy sector;2014;646,2;2325;7659,4;9283,3;-54,8;;646,2;431,5;193,9;20,9;;
Total energy commodities;Total energy sector;2015;679;1817,1;9512,7;10625,1;-25,7;;679;445,9;206;27,1;;
Total energy commodities;Total energy sector;2016;662,6;1743,2;9423,6;10611,5;107,4;;662,6;434,3;200,1;28,2;;
Total energy commodities;Total energy sector;2017;635,6;1516,1;9451,9;10340,1;7,7;;635,3;414,2;193,1;27,9;;
Total energy commodities;Total energy sector;2018;596;1311,8;9154,4;9804,3;-65,8;;595,9;370,9;197,8;27,3;;
Total energy commodities;Total energy sector;2019;607,9;1143,3;8836,8;9353,7;-18,5;;607,8;372;209,3;26,5;;
